rank,iso6393,iso6391,languageLabel,defaultScript,defaultScriptName,orthographyId,orthographyScriptCode,orthographyScriptName,orthographyPriority,orthographySource,reviewStatus,verificationStatus
282,qya,,Quenya,Latn,Latin,qya-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
282,qya,,Quenya,Latn,Latin,qya-cirt,Cirt,Cirth,secondary,wikidata-writing-system,needs-review,needs-review
282,qya,,Quenya,Latn,Latin,qya-sara,Sara,Sarati,secondary,wikidata-writing-system,needs-review,needs-review
282,qya,,Quenya,Latn,Latin,qya-teng,Teng,Tengwar,secondary,wikidata-writing-system,needs-review,needs-review
283,vot,,Votic,Latn,Latin,vot-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
283,vot,,Votic,Latn,Latin,vot-cyrl,Cyrl,Cyrillic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
284,pau,,Palauan,Latn,Latin,pau-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
285,nan,,Southern Min,Hans,Simplified,nan-hans,Hans,Simplified,primary,cldr-default,needs-review,needs-review
285,nan,,Southern Min,Hans,Simplified,nan-hani,Hani,Han,secondary,wikidata-writing-system,needs-review,needs-review
286,nso,,Northern Sotho,Latn,Latin,nso-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
287,sag,sg,Sango,Latn,Latin,sag-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
288,stq,,Saterland Frisian,Latn,Latin,stq-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
289,yue,,Yue Chinese,Hant,Traditional,yue-hant,Hant,Traditional,primary,cldr-default,needs-review,needs-review
289,yue,,Yue Chinese,Hant,Traditional,yue-hani,Hani,Chinese characters,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
290,xmf,,Mingrelian,Geor,Georgian,xmf-geor,Geor,Georgian,primary,omniglot-langalph+wws,needs-review,needs-review
291,bjn,,Banjar,Latn,Latin,bjn-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
292,ase,,American Sign Language,Sgnw,SignWriting,ase-sgnw,Sgnw,SignWriting,primary,cldr-default+wikidata,needs-review,needs-review
293,kau,kr,Kanuri,Latn,Latin,kau-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
294,nrn,,Norn,Runr,Runic,nrn-runr,Runr,Runic,primary,cldr-default,needs-review,needs-review
294,nrn,,Norn,Runr,Runic,nrn-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
295,cmn,,Standard Chinese,Hani,Han,cmn-hani,Hani,Han,primary,cldr-default+wikidata,needs-review,needs-review
296,frr,,North Frisian,Latn,Latin,frr-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
297,lug,lg,Luganda,Latn,Latin,lug-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
298,cre,cr,Cree,Cans,Unified Canadian Aboriginal Syllabics,cre-cans,Cans,Unified Canadian Aboriginal Syllabics,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
298,cre,cr,Cree,Cans,Unified Canadian Aboriginal Syllabics,cre-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
299,gan,,Gan Chinese,Hans,Simplified,gan-hans,Hans,Simplified,primary,cldr-default,needs-review,needs-review
299,gan,,Gan Chinese,Hans,Simplified,gan-hani,Hani,Han,secondary,wikidata-writing-system,needs-review,needs-review
300,kik,ki,Gikuyu,Latn,Latin,kik-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
301,mag,,Magahi,Deva,Devanagari,mag-deva,Deva,Devanagari,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
302,zha,za,Zhuang,Latn,Latin,zha-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
303,bsk,,Burushaski,Arab,Arabic,bsk-arab,Arab,Arabic,primary,cldr-default+wikidata,needs-review,needs-review
303,bsk,,Burushaski,Arab,Arabic,bsk-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
304,sva,,Svan,Geor,Georgian,sva-geor,Geor,Georgian,primary,omniglot-langalph+wws,needs-review,needs-review
304,sva,,Svan,Geor,Georgian,sva-cyrl,Cyrl,Cyrillic,secondary,wikidata-writing-system,needs-review,needs-review
304,sva,,Svan,Geor,Georgian,sva-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
305,fro,,Old French,Latn,Latin,fro-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
306,nbl,nr,Southern Ndebele,Latn,Latin,nbl-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
307,lzz,,Laz,Latn,Latin,lzz-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
307,lzz,,Laz,Latn,Latin,lzz-geor,Geor,Georgian,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
308,tvl,,Tuvaluan,Latn,Latin,tvl-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
309,elx,,Elamite,Xsux,Sumero-Akkadian Cuneiform,elx-xsux,Xsux,Sumero-Akkadian Cuneiform,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
310,koi,,Komi-Permyak,Cyrl,Cyrillic,koi-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,needs-review
311,sgs,,Samogitian,Latn,Latin,sgs-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
312,sma,,Southern Sami,Latn,Latin,sma-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
313,ext,,Extremaduran,Latn,Latin,ext-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
314,evn,,Evenki,Cyrl,Cyrillic,evn-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
314,evn,,Evenki,Cyrl,Cyrillic,evn-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
314,evn,,Evenki,Cyrl,Cyrillic,evn-mong,Mong,Mongolian,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
315,kab,,Kabyle,Latn,Latin,kab-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
315,kab,,Kabyle,Latn,Latin,kab-arab,Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
315,kab,,Kabyle,Latn,Latin,kab-tfng,Tfng,Tifinagh,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
316,rap,,Rapa Nui,Latn,Latin,rap-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
317,rut,,Rutulian,Cyrl,Cyrillic,rut-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,needs-review
318,lzh,,Classical Chinese,Hant,Traditional,lzh-hant,Hant,Traditional,primary,cldr-default,needs-review,needs-review
318,lzh,,Classical Chinese,Hant,Traditional,lzh-hani,Hani,Han,secondary,wikidata-writing-system,needs-review,needs-review
319,raj,,Rajasthani,Deva,Devanagari,raj-deva,Deva,Devanagari,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
319,raj,,Rajasthani,Deva,Devanagari,raj-arab,Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
320,srn,,Sranan Tongo,Latn,Latin,srn-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
321,niu,,Niuean,Latn,Latin,niu-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
322,smn,,Inari Sami,Latn,Latin,smn-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
323,glk,,Gilaki,Arab,Arabic,glk-arab,Arab,Arabic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
324,peo,,Old Persian,Xpeo,Old Persian,peo-xpeo,Xpeo,Old Persian,primary,cldr-default+wikidata,needs-review,needs-review
325,ryu,,Okinawan,Kana,Katakana,ryu-kana,Kana,Katakana,primary,cldr-default,needs-review,needs-review
325,ryu,,Okinawan,Kana,Katakana,ryu-jpan,Jpan,Japanese,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
326,tly,,Talysh,Latn,Latin,tly-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
326,tly,,Talysh,Latn,Latin,tly-arab,Arab,Arabic,secondary,wikidata-writing-system,needs-review,needs-review
326,tly,,Talysh,Latn,Latin,tly-cyrl,Cyrl,Cyrillic,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
327,chu,cu,Church Slavonic,Cyrl,Cyrillic,chu-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
327,chu,cu,Church Slavonic,Cyrl,Cyrillic,chu-cyrs,Cyrs,Old Church Slavonic Cyrillic,secondary,wikidata-writing-system,needs-review,needs-review
327,chu,cu,Church Slavonic,Cyrl,Cyrillic,chu-glag,Glag,Glagolitic,secondary,wikidata-writing-system,needs-review,needs-review
327,chu,cu,Church Slavonic,Cyrl,Cyrillic,chu-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
328,orv,,Old East Slavic,Cyrl,Cyrillic,orv-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,needs-review
328,orv,,Old East Slavic,Cyrl,Cyrillic,orv-glag,Glag,Glagolitic,secondary,wikidata-writing-system,needs-review,needs-review
329,fon,,Fon,Latn,Latin,fon-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
330,pam,,Kapampangan,Latn,Latin,pam-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
330,pam,,Kapampangan,Latn,Latin,pam-tglg,Tglg,Baybayin,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
