rank,iso6393,iso6391,glottocode,qid,languageLabel,sitelinks,defaultScript,defaultScriptName,orthographyId,orthographyLabelEn,orthographyScriptCode,orthographyScriptName,orthographyPriority,orthographySource,reviewStatus,seedKind,verificationStatus,languageWikipediaUrl,scriptWikipediaUrl,evidenceSources
55,kaz,kk,kaza1248,Q9252,Kazakh,165,Cyrl,Cyrillic,kaz-cyrl,Kazakh (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
55,kaz,kk,kaza1248,Q9252,Kazakh,165,Cyrl,Cyrillic,kaz-arab,Kazakh (Arabic),Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Arabic,omniglot-langalph|worldswritingsystems
55,kaz,kk,kaza1248,Q9252,Kazakh,165,Cyrl,Cyrillic,kaz-latn,Kazakh (Latin),Latn,Latin,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
56,cym,cy,wels1247,Q9309,Welsh,165,Latn,Latin,cym-latn,Welsh (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
56,cym,cy,wels1247,Q9309,Welsh,165,Latn,Latin,cym-ogam,Welsh (Ogham),Ogam,Ogham,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Ogham,omniglot-langalph|worldswritingsystems
57,msa,ms,indo1326,Q9237,Malay,162,Latn,Latin,msa-latn,Malay (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
57,msa,ms,indo1326,Q9237,Malay,162,Latn,Latin,msa-arab,Malay (Arabic),Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Arabic,omniglot-langalph|worldswritingsystems
58,ina,ia,inte1239,Q35934,Q35934,157,Latn,Latin,ina-latn,Q35934 (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
59,yid,yi,yidd1255,Q8641,Yiddish,156,Hebr,Hebrew,yid-hebr,Yiddish (Hebrew),Hebr,Hebrew,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Hebrew_alphabet,omniglot-langalph|worldswritingsystems|wikidata-p282
60,mkd,mk,mace1250,Q9296,Macedonian,155,Cyrl,Cyrillic,mkd-cyrl,Macedonian (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
61,grc,,anci1242,Q35497,Ancient Greek,154,Grek,Greek,grc-grek,Ancient Greek (Greek),Grek,Greek,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
61,grc,,anci1242,Q35497,Ancient Greek,154,Grek,Greek,grc-linb,Ancient Greek (Linear B),Linb,Linear B,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
62,kur,ku,kurd1259,Q36368,Kurdish,146,Latn,Latin,kur-latn,Kurdish (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
62,kur,ku,kurd1259,Q36368,Kurdish,146,Latn,Latin,kur-arab,Kurdish (Arabic),Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Arabic,omniglot-langalph|worldswritingsystems
62,kur,ku,kurd1259,Q36368,Kurdish,146,Latn,Latin,kur-cyrl,Kurdish (Cyrillic),Cyrl,Cyrillic,secondary,wikidata-writing-system,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
63,lfn,,ling1267,Q146803,Lingua Franca Nova,145,Latn,Latin,lfn-latn,Lingua Franca Nova (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
